CRIM,ZN,INDUS,CHAS,NOX,RM,AGE,DIS,RAD,TAX,PTRATIO,B,LSTAT,MEDV
0.238219,5,8.57,1,0.62,7.616,25.92,5.098,7,303,18.5,324.67,42.44,19.4
0.5221665,5,3.46,1,0.86,6.308,24.81,5.098,4,539,16.1,279.04,12.8,18.8
0.806114,7,6.38,0,0.74,6.744,22.22,4.549,6,606,16.1,257.07,17.74,26.6
0.6357455,0.5,7.11,1,0.74,6.308,22.22,4.8235,4,653,19.4,263.83,35.03,29
0.12464,4,6.38,0,0.74,8.052,26.29,5.098,7,293,15.8,267.21,35.03,28.4
0.919693,1.25,2.73,1,0.74,8.052,32.58,4.549,6,446,19.4,285.8,30.09,18.2
0.806114,0.5,3.46,0,0.86,6.744,28.14,4.8235,3,636,19.4,290.87,30.09,18.2
0.12464,1.25,3.46,0,0.74,6.308,22.22,5.098,2,531,16.4,317.91,25.15,23.6
0.5221665,0.25,3.46,0,0.62,7.18,24.44,4.8235,3,456,17,284.11,10.33,18.2
0.2950085,3.5,4.92,0,0.74,7.616,36.28,4.8235,7,601,15.2,312.84,10.33,20
0.7493245,6,3.46,1,0.86,7.18,26.29,5.098,3,483,14.6,309.46,44.91,22.4
0.8629035,2.75,4.92,1,0.74,7.18,25.92,5.098,1,305,16.1,285.8,44.91,23
0.919693,5.25,2.73,0,0.86,7.616,36.65,4.549,7,310,17.6,299.32,7.86,23
0.8629035,7,2.73,1,0.62,8.052,27.4,4.8235,8,388,19.7,302.7,22.68,21.8
0.465377,0.75,7.11,0,0.74,7.616,35.54,5.098,2,476,15.5,279.04,42.44,18.8
0.6357455,4.75,9.3,0,0.74,7.18,28.88,5.098,9,562,17.6,265.52,7.86,27.8
0.919693,6.5,4.19,0,0.62,7.616,31.1,4.549,3,650,15.8,302.7,39.97,16.4
0.12464,3.5,3.46,1,0.62,7.616,24.44,4.8235,2,618,15.8,314.53,32.56,18.8
0.351798,1.5,5.65,0,0.86,8.052,27.03,5.098,3,305,18.8,292.56,42.44,26.6
0.578956,0,2.73,0,0.62,6.308,35.17,4.549,4,477,16.1,257.07,35.03,16.4
0.2950085,7,9.3,0,0.74,7.616,34.8,4.549,7,602,14.6,267.21,7.86,18.2
0.919693,6.25,8.57,1,0.86,6.744,27.03,5.098,4,459,15.8,284.11,25.15,23
0.806114,4.5,4.19,1,0.74,6.308,35.54,4.8235,8,555,17.9,319.6,44.91,21.2
0.7493245,5.75,3.46,0,0.86,7.616,33.32,5.098,2,563,19.7,314.53,32.56,22.4
0.8629035,6,6.38,0,0.86,8.052,25.18,5.098,5,409,17.3,258.76,20.21,17
0.578956,1,2.73,0,0.62,7.18,34.06,4.549,1,591,17,299.32,20.21,18.2
0.919693,6.5,7.84,1,0.86,7.616,34.8,4.8235,8,644,14.9,265.52,17.74,22.4
0.6357455,5.5,7.84,0,0.86,8.052,32.95,5.098,4,662,16.4,265.52,7.86,24.8
0.7493245,1.25,4.19,1,0.86,6.308,22.22,4.549,8,358,15.2,317.91,25.15,18.8
0.692535,3,8.57,0,0.62,8.052,29.25,4.8235,1,544,15.2,282.42,35.03,21.8
0.2950085,4.5,3.46,0,0.74,8.052,31.47,5.098,1,323,17.9,265.52,27.62,26.6
0.578956,4,2.73,0,0.62,6.744,22.59,4.549,2,561,17.9,270.59,39.97,26
0.919693,6.5,6.38,0,0.62,6.308,37.39,4.8235,6,389,14.3,285.8,35.03,23
0.351798,6,3.46,1,0.86,8.052,35.91,4.549,2,340,16.7,321.29,25.15,23.6
0.465377,5.75,2.73,0,0.86,8.052,38.13,4.8235,3,487,14.9,294.25,10.33,19.4
0.578956,3,9.3,1,0.62,7.616,36.28,4.549,5,466,18.8,321.29,35.03,18.8
0.692535,4,4.92,1,0.86,6.308,31.47,5.098,4,616,17,270.59,17.74,23.6
0.1814295,4.75,7.11,1,0.62,7.18,31.47,4.8235,5,483,19.4,294.25,39.97,25.4
0.5221665,0,5.65,1,0.86,7.18,26.66,4.8235,3,496,17.9,302.7,20.21,23
0.465377,2,2.73,1,0.74,6.308,38.5,4.549,7,613,16.1,311.15,32.56,27.8
0.2950085,2.75,4.92,1,0.62,6.308,23.33,4.8235,4,479,18.8,306.08,20.21,27.8
0.2950085,3.5,2.73,1,0.74,7.18,27.03,5.098,4,428,18.5,265.52,42.44,17
0.465377,4.75,6.38,1,0.86,7.616,28.14,5.098,7,560,14.9,257.07,10.33,21.2
0.7493245,3.25,7.11,1,0.62,7.616,29.62,5.098,1,469,17.6,324.67,39.97,20
0.238219,7.5,3.46,1,0.62,7.18,32.21,5.098,5,379,15.5,299.32,10.33,26.6
0.8629035,3.25,4.19,0,0.62,8.052,37.39,5.098,6,586,18.5,284.11,32.56,18.2
0.4085875,3.75,5.65,0,0.86,6.308,34.8,5.098,3,281,15.2,312.84,35.03,18.8
0.8629035,3.25,7.11,0,0.86,7.616,21.85,4.549,5,332,14.9,292.56,25.15,25.4
0.465377,2.75,8.57,1,0.74,6.308,28.14,4.549,8,550,17.6,319.6,22.68,18.2
0.4085875,4,9.3,1,0.74,7.18,30.73,4.549,7,415,16.4,275.66,15.27,23
0.806114,3,4.19,0,0.86,7.18,23.7,4.8235,6,584,16.1,297.63,42.44,24.8
0.465377,7.5,6.38,1,0.86,7.616,24.44,4.8235,2,649,14.6,273.97,10.33,23.6
0.12464,0.25,9.3,0,0.62,6.308,29.25,4.549,4,532,18.8,287.49,27.62,20
0.238219,4.75,6.38,1,0.62,7.18,37.76,5.098,1,344,17.3,322.98,27.62,17
0.4085875,1.75,4.92,1,0.62,6.308,31.84,5.098,4,618,18.8,317.91,37.5,17
0.7493245,2,5.65,0,0.86,6.308,25.92,5.098,8,427,19.7,316.22,42.44,18.2
0.2950085,0.75,7.84,1,0.74,7.18,37.39,4.549,4,273,18.2,321.29,25.15,22.4
0.238219,2,3.46,0,0.86,8.052,35.91,5.098,4,343,19.7,260.45,35.03,16.4
0.806114,0.25,3.46,1,0.74,6.744,24.81,4.8235,7,318,15.8,260.45,44.91,22.4
0.919693,0,4.19,1,0.62,7.616,37.02,4.8235,3,552,19.7,317.91,30.09,27.8
0.4085875,6,3.46,0,0.74,6.744,29.99,5.098,5,541,19.4,322.98,30.09,19.4
0.578956,1.5,8.57,1,0.86,8.052,29.62,4.549,3,616,17.9,294.25,7.86,28.4
0.238219,4,8.57,1,0.86,6.308,33.32,5.098,7,485,17.3,287.49,42.44,24.2
0.12464,6.75,8.57,0,0.86,7.18,25.92,5.098,1,359,19.4,282.42,20.21,21.8
0.238219,5.25,3.46,1,0.62,7.616,22.59,5.098,8,366,18.5,292.56,17.74,21.8
0.2950085,5.75,2.73,0,0.62,8.052,30.73,4.8235,3,598,14.6,312.84,32.56,24.8
0.465377,6,9.3,0,0.74,6.308,25.18,5.098,6,275,18.5,265.52,42.44,20.6
0.919693,7.25,5.65,1,0.74,7.18,36.28,5.098,8,568,16.4,299.32,10.33,29
0.692535,2.5,7.84,0,0.86,7.616,28.88,4.549,6,600,15.5,311.15,30.09,20.6
0.351798,0.25,3.46,0,0.86,6.308,38.13,4.549,7,607,16.7,324.67,12.8,24.8
0.5221665,4.75,4.19,1,0.62,7.18,35.54,4.8235,5,587,14.3,258.76,17.74,20
0.8629035,0.75,4.19,1,0.62,8.052,35.91,4.8235,1,506,17.9,282.42,32.56,26.6
0.351798,1.75,4.92,0,0.86,6.308,29.62,4.8235,1,562,16.4,289.18,44.91,26
0.1814295,4,7.11,0,0.62,7.18,25.18,5.098,8,519,19.4,282.42,39.97,25.4
0.578956,6.75,9.3,1,0.62,6.308,28.51,4.549,2,370,17.6,273.97,17.74,17.6
0.238219,6.75,3.46,1,0.86,6.744,23.7,4.549,7,285,15.5,277.35,25.15,18.8
0.238219,4.75,5.65,1,0.74,6.308,34.06,4.549,9,486,19.1,307.77,22.68,22.4
0.578956,2.75,7.11,1,0.74,7.616,29.99,4.549,2,395,17.9,317.91,42.44,21.2
0.692535,4,4.19,1,0.62,8.052,21.85,5.098,9,361,14.6,272.28,42.44,23.6
0.7493245,0.25,7.11,0,0.74,7.18,36.65,4.8235,8,287,18.2,282.42,32.56,22.4
0.4085875,4,4.19,0,0.86,7.18,24.81,4.549,2,334,19.4,317.91,32.56,18.8
0.5221665,1.75,7.11,1,0.62,8.052,28.14,4.549,1,418,17.9,280.73,22.68,24.8
0.6357455,1.5,4.19,1,0.62,8.052,22.96,4.8235,6,469,19.1,301.01,32.56,20.6
0.692535,6.25,4.19,1,0.62,6.744,28.14,5.098,1,486,14.3,270.59,42.44,20.6
0.578956,7.25,5.65,0,0.62,7.616,30.73,4.549,3,471,14.9,317.91,12.8,23
0.2950085,1.75,2.73,1,0.86,7.18,38.13,4.8235,6,624,17.3,301.01,44.91,20.6
0.8629035,2,3.46,1,0.86,6.744,21.85,4.8235,1,638,17.3,289.18,35.03,18.2
0.6357455,4.25,8.57,0,0.86,7.18,30.36,5.098,1,494,16.1,314.53,22.68,17.6
0.919693,2.5,7.11,1,0.86,8.052,35.54,5.098,8,400,15.8,309.46,44.91,20
0.919693,6,5.65,1,0.86,6.308,34.8,4.549,3,352,16.4,280.73,20.21,21.8
0.806114,0.75,2.73,0,0.86,7.18,22.59,5.098,6,521,16.7,270.59,20.21,24.8
0.465377,2.75,4.19,1,0.62,8.052,37.76,4.8235,1,456,16.7,317.91,42.44,20.6
0.1814295,5,9.3,0,0.86,7.18,38.5,4.8235,4,399,19.1,285.8,12.8,29
0.238219,1.5,4.92,0,0.62,7.616,28.88,4.549,8,308,18.5,321.29,22.68,17.6
0.806114,4.5,8.57,1,0.86,7.616,22.59,4.8235,2,577,16.7,307.77,42.44,28.4
0.6357455,2.75,9.3,0,0.62,7.616,29.62,4.8235,2,435,19.4,314.53,10.33,19.4
0.578956,6.5,7.11,1,0.86,6.744,31.47,5.098,1,428,18.5,309.46,37.5,26.6
0.7493245,5,7.84,0,0.86,6.308,28.14,4.8235,2,593,16.4,287.49,39.97,18.2
0.7493245,7,5.65,1,0.62,7.18,35.91,5.098,5,664,15.8,324.67,39.97,16.4
0.5221665,0.5,7.84,1,0.62,7.18,35.17,4.549,5,622,14.3,304.39,10.33,21.8
0.5221665,6.5,6.38,1,0.62,6.308,21.85,4.549,9,473,18.5,316.22,35.03,16.4
0.692535,3.5,2.73,1,0.74,8.052,35.54,5.098,8,600,14.9,311.15,39.97,18.8
0.5221665,3.75,2.73,1,0.86,7.616,29.62,5.098,9,552,19.1,299.32,15.27,20.6
0.4085875,4.75,9.3,1,0.74,7.616,24.07,4.8235,4,559,16.1,273.97,20.21,18.8
0.806114,6,4.92,1,0.74,6.744,38.13,5.098,1,430,17.3,258.76,32.56,20
0.919693,1.25,7.84,0,0.62,7.18,29.25,4.8235,7,496,16.4,309.46,35.03,20.6
0.6357455,5,9.3,0,0.86,6.308,22.59,4.549,5,550,14.3,275.66,22.68,26.6
0.7493245,2.75,9.3,1,0.62,8.052,34.8,4.8235,4,548,19.7,260.45,12.8,19.4
0.806114,7.5,4.19,0,0.74,7.616,26.29,4.8235,3,506,18.8,258.76,7.86,22.4
0.4085875,5.75,5.65,0,0.62,6.744,34.8,5.098,4,609,18.2,319.6,12.8,18.8
0.238219,7.25,6.38,0,0.74,7.616,29.99,4.8235,7,570,19.7,287.49,30.09,23
0.2950085,1.75,2.73,0,0.86,6.308,25.55,4.549,6,410,19.7,306.08,30.09,19.4
0.2950085,7,9.3,0,0.74,8.052,24.07,5.098,3,666,14.3,307.77,20.21,29
0.806114,2.25,4.92,0,0.62,7.616,36.65,4.549,3,393,18.5,284.11,15.27,26.6
0.919693,6.25,5.65,1,0.62,6.744,23.7,4.549,1,636,15.2,287.49,20.21,17
0.351798,6.5,5.65,0,0.86,6.308,28.88,4.549,3,473,19.4,309.46,39.97,28.4
0.4085875,1.5,4.92,0,0.62,6.744,37.39,5.098,3,610,14.6,263.83,10.33,24.2
0.578956,3.25,4.92,1,0.74,8.052,28.88,5.098,5,593,16.4,257.07,37.5,26
0.1814295,5.25,4.19,0,0.74,7.18,24.07,4.549,9,360,19.7,290.87,42.44,24.2
0.351798,7.5,4.92,0,0.74,7.18,34.06,5.098,7,372,17.3,270.59,37.5,26.6
0.1814295,3,4.19,0,0.86,6.744,28.14,4.8235,9,426,19.4,268.9,32.56,26.6
0.2950085,1.25,9.3,1,0.86,7.616,26.66,4.8235,8,441,14.6,270.59,12.8,16.4
0.692535,5.25,3.46,0,0.74,8.052,38.13,4.8235,3,342,17.6,290.87,37.5,29
0.5221665,0.5,6.38,1,0.86,6.744,30.73,4.8235,9,569,18.8,316.22,27.62,22.4
0.1814295,6.25,4.19,1,0.86,7.616,30.73,5.098,4,304,14.9,289.18,30.09,25.4
0.4085875,4.25,8.57,0,0.74,7.616,24.07,4.549,5,445,18.5,317.91,20.21,21.8
0.7493245,7.25,7.84,0,0.86,6.744,36.65,5.098,5,334,17.9,295.94,25.15,18.2
0.7493245,2,3.46,0,0.62,6.308,37.76,4.8235,6,609,17,317.91,42.44,18.8
0.806114,6.75,2.73,0,0.74,7.616,32.21,5.098,1,392,17.6,307.77,22.68,27.8
0.2950085,5.25,2.73,1,0.62,7.18,23.7,4.8235,2,400,17.3,304.39,42.44,26.6
0.578956,2.5,6.38,1,0.62,8.052,21.85,4.8235,1,622,15.2,280.73,30.09,19.4
0.7493245,3,7.11,0,0.62,8.052,29.99,4.549,5,379,14.9,275.66,10.33,26.6
0.919693,0.25,9.3,1,0.86,7.18,30.73,4.8235,9,412,15.2,301.01,39.97,22.4
0.6357455,6,8.57,0,0.74,7.616,30.36,5.098,4,448,18.2,294.25,15.27,21.2
0.7493245,1.75,4.92,0,0.74,7.18,24.44,5.098,5,427,18.8,287.49,42.44,17
0.2950085,5.75,7.84,1,0.74,6.744,38.5,4.8235,3,325,16.7,260.45,7.86,27.8
0.2950085,1,2.73,1,0.74,6.308,22.59,4.549,5,466,16.1,299.32,25.15,19.4
0.12464,1.25,8.57,1,0.86,7.18,38.13,4.549,4,390,15.2,277.35,20.21,29
0.238219,7.25,4.19,0,0.86,6.308,35.17,4.549,9,510,16.1,260.45,37.5,27.2
0.5221665,1.25,7.84,0,0.86,8.052,35.54,5.098,5,431,16.4,312.84,27.62,25.4
0.465377,6.75,7.11,0,0.62,6.308,33.32,4.8235,3,624,14.6,304.39,12.8,24.2
0.578956,6.25,6.38,1,0.62,7.18,24.81,5.098,5,409,15.5,268.9,20.21,17
0.692535,1,7.84,0,0.62,7.18,34.43,4.549,9,466,16.4,267.21,30.09,16.4
0.4085875,6.75,7.84,0,0.74,8.052,35.54,4.8235,9,591,16.7,289.18,37.5,21.8
0.578956,2.5,7.84,0,0.62,6.308,33.32,5.098,3,614,16.1,311.15,20.21,21.8
0.6357455,3.25,7.11,1,0.74,6.744,31.84,4.8235,9,569,18.2,295.94,27.62,24.8
0.6357455,5.5,2.73,0,0.62,6.308,32.95,4.8235,7,310,17.9,292.56,7.86,18.8
0.4085875,3.25,7.11,1,0.86,8.052,25.92,5.098,8,473,14.3,321.29,42.44,27.2
0.2950085,2.5,8.57,0,0.62,7.18,33.69,4.549,8,400,18.5,306.08,27.62,23.6
0.578956,0.5,4.92,0,0.74,6.744,38.5,4.8235,1,449,17.9,260.45,12.8,28.4
0.238219,7,4.19,0,0.74,7.616,36.65,4.8235,6,534,17,294.25,30.09,21.8
0.465377,6.75,4.92,1,0.86,6.308,25.55,5.098,5,298,15.8,277.35,37.5,27.8
0.2950085,0.5,4.19,0,0.86,8.052,27.4,4.549,1,299,17.9,292.56,42.44,26
0.4085875,6.25,7.11,0,0.86,7.18,34.43,4.549,2,512,17.3,306.08,17.74,23.6
0.919693,5,9.3,0,0.86,7.18,28.14,4.8235,3,589,17.6,295.94,25.15,19.4
0.238219,4.5,7.84,0,0.74,7.18,37.02,4.549,9,529,17.3,307.77,30.09,28.4
0.806114,5.25,7.84,0,0.86,6.744,28.14,5.098,5,483,16.7,279.04,20.21,17.6
0.578956,1.5,6.38,1,0.62,7.18,29.99,5.098,9,657,18.8,321.29,7.86,26.6
0.806114,7.5,2.73,0,0.74,7.616,23.33,4.8235,4,422,15.2,290.87,42.44,24.2
0.578956,1,6.38,1,0.86,8.052,36.28,4.549,9,280,17.9,285.8,35.03,22.4
0.806114,0.25,9.3,1,0.74,8.052,31.1,5.098,6,312,19.7,312.84,10.33,26
0.692535,5.25,3.46,0,0.74,6.744,21.85,5.098,6,438,19.4,263.83,17.74,26
0.919693,5.25,8.57,1,0.86,6.744,33.69,4.549,5,310,18.2,273.97,7.86,21.8
0.578956,0,7.84,0,0.62,6.308,32.21,4.8235,6,577,16.1,265.52,30.09,28.4
0.7493245,7.5,8.57,0,0.74,6.744,31.47,4.549,1,355,19.1,258.76,25.15,23.6
0.919693,4.25,6.38,1,0.74,6.308,29.25,5.098,5,514,16.1,263.83,37.5,21.2
0.7493245,2,5.65,1,0.74,6.308,32.95,4.8235,4,635,14.6,304.39,22.68,21.2
0.238219,3.5,2.73,1,0.86,6.308,33.69,4.8235,2,660,17.6,302.7,39.97,16.4
0.578956,6.5,2.73,0,0.74,7.18,35.17,4.8235,9,470,19.1,284.11,42.44,26.6
0.578956,4.5,8.57,1,0.74,6.308,26.29,5.098,6,532,14.3,301.01,37.5,26.6
0.351798,3,7.11,0,0.86,6.744,22.59,4.8235,9,302,17,301.01,35.03,29
0.806114,0,5.65,0,0.74,8.052,26.29,5.098,8,503,19.4,314.53,37.5,19.4
0.5221665,3.75,2.73,0,0.62,8.052,29.99,4.549,1,447,14.6,284.11,7.86,16.4
0.578956,1.25,4.92,0,0.74,7.616,36.65,4.549,2,558,14.6,270.59,27.62,23.6
0.4085875,6.5,9.3,1,0.74,7.616,31.1,4.549,6,306,18.2,306.08,37.5,18.2
0.465377,2.25,3.46,1,0.74,7.616,31.84,5.098,5,435,17,292.56,25.15,20
0.919693,3.25,8.57,0,0.62,7.616,31.47,4.549,5,491,15.5,309.46,44.91,27.2
0.578956,1.5,3.46,0,0.62,6.308,28.14,4.549,1,447,16.4,279.04,20.21,23
0.2950085,7.25,3.46,1,0.74,6.308,29.62,4.8235,3,568,14.6,319.6,17.74,21.2
0.7493245,3.5,4.92,0,0.86,7.616,31.84,5.098,8,492,14.9,297.63,17.74,24.8
0.238219,3.75,4.19,0,0.74,7.616,30.36,4.8235,9,364,14.3,285.8,7.86,21.2
0.806114,2.75,2.73,1,0.86,6.744,26.66,5.098,8,398,14.6,297.63,30.09,24.2
0.12464,6.25,7.84,0,0.62,6.308,33.32,4.8235,7,484,19.7,258.76,32.56,21.8
0.2950085,4.5,5.65,0,0.74,7.18,35.91,4.549,4,480,17.9,267.21,30.09,22.4
0.4085875,1.25,5.65,1,0.62,7.616,26.29,4.549,4,439,17,314.53,20.21,24.8
0.1814295,4,3.46,0,0.86,7.18,28.14,5.098,2,396,19.7,309.46,20.21,20
0.1814295,5.75,5.65,0,0.62,7.18,33.32,4.8235,1,278,17.3,299.32,42.44,18.2
0.578956,4.5,7.84,0,0.62,6.744,38.5,5.098,3,648,14.3,268.9,32.56,19.4
0.4085875,0.5,4.19,0,0.62,6.308,23.7,5.098,6,273,15.2,290.87,25.15,25.4
0.238219,1.25,8.57,0,0.86,6.744,38.5,5.098,1,552,17.9,263.83,22.68,18.2
0.351798,2.5,8.57,1,0.74,8.052,22.96,5.098,4,482,14.6,302.7,27.62,20.6
0.1814295,5.25,2.73,0,0.62,7.616,36.65,4.8235,7,591,18.8,299.32,27.62,24.2
0.4085875,4.75,7.84,1,0.62,7.18,33.69,5.098,9,660,19.4,267.21,10.33,25.4
0.4085875,0.25,7.84,1,0.62,6.744,22.59,5.098,6,526,17.9,321.29,22.68,17.6
0.465377,4,6.38,1,0.86,7.18,29.25,4.8235,2,275,19.1,306.08,12.8,22.4
0.8629035,1.75,8.57,1,0.74,6.308,31.84,5.098,8,547,19.1,270.59,10.33,18.8
0.2950085,3,8.57,1,0.62,7.18,22.22,4.549,1,420,14.3,258.76,42.44,26
0.238219,4.75,5.65,1,0.74,7.18,36.65,5.098,6,602,14.6,290.87,7.86,27.8
0.578956,5.75,3.46,1,0.74,6.308,32.21,4.8235,7,541,17,280.73,15.27,18.8
0.5221665,4.5,2.73,1,0.74,6.744,24.44,4.549,5,462,19.4,270.59,25.15,18.2
0.12464,1.25,3.46,1,0.62,6.744,29.62,4.8235,2,437,16.7,285.8,22.68,17.6
0.238219,3.5,3.46,0,0.86,6.308,38.13,4.549,5,522,17.3,306.08,10.33,25.4
0.8629035,5.25,4.92,1,0.86,6.308,28.51,4.549,2,456,18.2,270.59,30.09,23
0.5221665,0.5,4.92,0,0.86,7.18,31.47,5.098,9,353,14.3,279.04,17.74,17
0.351798,6.75,5.65,0,0.86,7.616,34.43,5.098,5,643,15.5,277.35,27.62,18.2
0.806114,5.25,2.73,0,0.62,6.744,38.5,5.098,7,485,17,306.08,20.21,17.6
0.6357455,7,4.92,0,0.62,6.744,36.65,5.098,9,453,16.7,289.18,32.56,18.8
0.238219,7.25,8.57,0,0.86,7.18,28.51,4.8235,7,650,19.1,257.07,17.74,19.4
0.238219,2,4.92,1,0.86,7.616,32.21,5.098,7,478,14.3,309.46,30.09,19.4
0.7493245,4.25,6.38,1,0.86,8.052,23.7,4.549,8,659,16.1,316.22,42.44,21.8
0.5221665,6.25,6.38,1,0.62,6.308,23.7,5.098,7,543,15.8,273.97,7.86,20.6
0.12464,6.25,8.57,1,0.74,8.052,36.28,4.8235,9,558,16.7,260.45,32.56,18.8
0.5221665,6,9.3,0,0.74,6.744,32.58,4.8235,1,471,15.8,309.46,10.33,21.8
0.1814295,0,4.19,1,0.62,6.308,22.96,4.8235,9,641,16.1,268.9,32.56,28.4
0.4085875,4.75,6.38,0,0.86,6.744,21.85,4.549,9,387,15.5,265.52,30.09,20
0.238219,5.25,4.92,0,0.86,8.052,24.44,4.8235,8,359,18.8,295.94,25.15,20
0.692535,7,2.73,1,0.62,6.308,24.07,4.8235,2,645,15.8,289.18,25.15,27.2
0.238219,5,6.38,0,0.62,6.308,31.84,4.549,7,273,15.2,297.63,39.97,18.8
0.692535,0,7.84,0,0.86,6.744,34.8,4.8235,8,532,17.3,297.63,35.03,20.6
0.578956,0.5,4.92,1,0.62,7.616,30.73,4.549,1,319,15.2,304.39,17.74,18.2
0.6357455,6.25,5.65,1,0.86,7.18,22.59,4.8235,2,375,15.2,265.52,7.86,23
0.4085875,7.5,2.73,0,0.62,8.052,32.95,5.098,7,333,18.8,314.53,32.56,23
0.919693,0.25,9.3,0,0.74,6.744,21.85,5.098,8,286,18.8,275.66,39.97,23
0.2950085,0,8.57,0,0.62,7.616,38.5,4.8235,3,289,14.3,311.15,39.97,16.4
0.692535,3.25,4.92,0,0.74,7.616,32.58,4.549,8,479,14.3,279.04,15.27,25.4
0.5221665,3,4.92,1,0.62,7.616,24.81,5.098,8,335,19.7,299.32,25.15,18.2
0.465377,2.25,4.92,1,0.74,6.744,27.03,4.549,3,281,18.5,275.66,37.5,20.6
